ID,PE,PE Title,Budget Activity,Budget Activity Title,Account,Classified,FY 1999,FY 2000,FY 2000 App,FY 2001,FY 2001 App,FY 2001 PB,FY 2002,FY 2002 App,FY 2002 PB,FY 2003,FY 2003 App,FY 2003 PB,FY 2004,FY 2004 App,FY 2004 PB,FY 2005,FY 2005 App,FY 2005 PB,FY 2006,FY 2006 App,FY 2006 PB,FY 2007,FY 2007 App,FY 2007 PB,FY 2008,FY 2008 App,FY 2008 PB,FY 2009,FY 2009 App,FY 2009 PB,FY 2010,FY 2010 App,FY 2010 PB,FY 2010 OCO PB,FY 2010 OCO Sup,FY 2011,FY 2011 CR,FY 2011 CR OCO,FY 2011 PB,FY 2011 OCO PB,FY 2012,FY 2012 App,FY 2012 OCO App,FY 2012 PB,FY 2012 OCO PB,FY 2013,FY 2013 App,FY 2013 OCO App,FY 2013 PB,FY 2013 OCO PB,FY 2014,FY 2014 App,FY 2014 OCO App,FY 2014 PB,FY 2014 OCO PB,FY 2015 App,FY 2015 OCO App,FY 2015 PB,FY 2015 OCO PB,FY 2016 PB,FY 2016 OCO PB
4784,0605126J,Joint Integrated Air and Missile Defense Organization (JIAMDO),6,Management Support,400,,109079,18379,17379,21006,21006,21200,26678,26678,26865,74905,68887,72919,85505,85078,87250,84411,84411,86409,76263,76263,81504,52287,52287,52486,53653,53653,53653,55282,55282,55282,97047,96505,96909,0,0,79701,94410,0,94577,0,79532,79514,0,79859,0,63151,55508,0,55508,0,37314,42772,0,47462,0,43176,0,43176,0,35471,0
4785,0603872C,Joint Theater Missile Defense - Dem/Val,4,,400,,204213,198567,196566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4786,0604400D8Z,Department of Defense (DoD) Unmanned Aircraft System (UAS) Common Development,4,Advanced Component Development And Prototypes,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210944,217401,422873,0,0,0,0,0,0,0,0,0,0,0,0,59463,60792,55289,0,0,44884,49205,0,49292,0,24161,24289,0,25120,0,11233,12368,0,12368,0,7977,8263,0,8300,0,7791,0,3702,0,3129,0
4787,0604400F ,Joint Unmanned Combat Air Systems (J-UCAS) Advanced Component and Prototype Deve,4,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222540,227857,272300,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4788,0603400D8Z,Joint Unmanned Combat Air Systems (J-UCAS) Advanced Technology Development and R,3,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344935,354794,284617,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4789,0603400F ,Joint Unmanned Combat Air Systems (J-UCAS) Advanced Technology Development and R,3,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80362,76691,77800,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4790,0603757N ,Joint Warfare Experiments,3,,1319,,0,0,0,0,0,0,0,0,0,0,0,0,19440,19956,13684,1,26,26,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4791,0604787N ,Joint Warfare Transformation Programs,4,,1319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21717,22239,22450,22406,23032,23385,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792,0603727D8Z,Joint Warfighting Program,3,Advanced Technology Development,400,,34043,7634,7675,7538,7538,7607,7536,7536,7613,8850,9296,9610,9949,10284,9685,10376,10696,9936,9757,10043,10205,10328,10580,10641,10635,10964,11060,10244,12031,11098,10738,11045,11135,0,0,10710,10947,0,10966,0,10276,10310,0,10547,0,7335,8403,0,8403,0,3325,3425,0,8431,0,5396,0,7405,0,9626,0
4793,0603832D8Z,DoD Modeling and Simulation Management Office,3,Advanced Technology Development,400,,56861,75416,66967,62390,62390,56971,46104,46104,45065,45835,46337,49929,40678,41735,44887,40915,44942,46017,19394,34372,34928,34110,35972,36179,22068,22639,37837,30302,33602,38147,34055,34226,38505,0,0,33114,38073,0,38140,0,29860,29977,0,37029,0,37881,47433,0,47433,0,31222,34338,0,41370,0,2995,0,3000,0,0,0
4794,0301144K,Joint/Allied Coalition Information Sharing,7,Operational System Development,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21392,25818,26321,15723,19021,19073,10713,10722,10767,0,0,7677,9362,0,9379,0,6766,6222,0,7093,0,5191,6214,0,6214,0,6524,6524,0,6524,0,3931,0,3931,0,3645,0
4795,0604738A ,JSIMS Core Program,5,,2040,,0,0,0,0,0,0,29758,30727,30985,28759,19213,24230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4796,0305614F,JSPOC Mission System,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87465,136271,131271,0,0,98726,136173,0,132706,0,75749,80409,0,118950,0,52974,54645,0,54645,0,56523,56523,0,58523,0,73779,0,73779,0,81911,0
4797,0909980F ,Judgment Fund Reimbursement,6,RDT&E Management Support,3600,,0,0,0,7206,0,0,23637,10000,10000,20000,19789,20000,45500,36125,36434,100000,99119,100000,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,371,,,,,,0,0,,,,,,0,0,,,,,,,,,,,
4798,0401219F,KC-10s,7,Operational Systems Development,3600,,9447,27016,23331,18369,19347,19526,21310,22547,22774,20149,10278,10506,6410,2286,2306,0,0,18452,12907,13280,13472,4696,4763,4781,13510,13703,36790,3800,0,0,35325,35586,35586,0,0,41456,58150,0,56669,0,30868,30868,0,30868,0,18450,24022,0,24022,0,0,0,0,0,0,2714,0,2714,0,1799,0
4799,0401221F,KC-135 Tanker Replacement,1,,3024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,0401221F ,KC-135 Tanker Replacement,7,,3024,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801,0401221F ,KC-135 Tanker Replacement,7,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,0,0,24095,97797,99210,68340,69632,203932,29686,113728,314454,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4802,0401218F,KC-135s,7,Operational Systems Development,3600,,1018,2027,2242,452,483,487,5067,5361,5416,1908,1465,1497,3009,3147,1473,1931,1070,1079,1456,1477,1498,1092,1122,1126,7825,8710,8766,11917,10305,7133,11832,10220,10297,0,0,19887,20987,0,20453,0,6161,6161,0,6161,0,,0,0,0,0,,,,0,0,,,,,,
4803,0303136G,Key Management Infrastructure (KMI),7,Operational System Development,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38113,38114,38257,51759,51759,52090,55435,49435,49578,40782,40782,41002,0,0,45708,45860,0,45941,0,33751,33751,0,33751,0,28428,30948,0,30948,0,33279,33279,0,33279,0,32698,0,32698,0,43867,0
4804,0603795N,Land Attack Technology,4,Advanced Component Development & Prototypes,1319,,83761,129300,116839,140357,138956,143044,140054,149063,130993,122032,124142,108693,117110,119684,63434,98435,100305,82049,73307,73983,14195,64339,56257,18571,49919,51027,31021,15966,17984,40028,9733,6809,1238,0,0,899,1018,0,905,0,411,421,0,421,0,14274,16132,0,16132,0,0,0,0,5075,0,318,0,318,0,887,0
4805,0603764E,Land Warfare Technology,3,,400,,85287,94578,96320,130610,129025,134249,153017,153067,153067,164634,165963,162100,80961,81513,82387,60897,62546,63121,107171,125384,139100,36658,44805,48975,19104,19642,24711,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4806,0634007D8Z,Landfill Gas Energy Capture,4,Advanced Component Development & Prototypes,401,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2429,2500,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4807,0604619A,Landmine Warfare,5,,2040,,23825,13142,13218,19287,15756,15902,22165,18780,18938,0,0,11913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4808,0603619A,Landmine Warfare and Barrier - Adv Dev,4,Advanced Component Development & Prototypes,2040,,7802,11802,10934,17804,22594,22803,20300,19877,21651,9719,9716,20286,34713,36563,36976,11141,15843,11634,0,0,0,1022,8346,8439,19120,24580,24737,13789,14186,29234,29399,17445,17536,0,0,14686,17228,0,15596,0,16399,19596,0,35383,0,4089,5054,0,5054,0,0,0,0,10625,0,0,0,0,0,49636,0
4809,0603606A,Landmine Warfare and Barrier Advanced Technology,3,Advanced Technology Development,2040,,22651,45748,47117,19922,20702,20894,24718,25640,23062,28075,28595,24104,29215,29662,24552,37246,33621,25577,26915,30092,25327,29406,30218,25554,30038,30700,25315,36883,37534,30797,35765,34855,30317,0,0,26089,29773,0,26953,0,30687,31491,0,31541,0,24448,27204,0,27204,0,22233,22794,0,22806,0,13070,0,13074,0,13993,0
4810,0604808A,Landmine Warfare/Barrier - Eng Dev,5,System Development & Demonstration,2040,,37467,24458,29893,84867,93717,69584,55502,68550,89153,125024,123314,128992,92808,96187,90396,57090,57116,51045,103399,74482,80560,97555,92237,118078,172146,160079,142315,113590,116687,126475,89064,72380,82260,0,0,37707,105577,0,95577,0,73955,76248,0,87426,0,37769,104983,0,104983,0,87895,92236,0,92285,0,57674,0,57705,0,55215,0
4811,0401134F ,Large Aircraft IR Countermeasures (LAIRCM),7,Operational Systems Development,3600,,0,0,0,0,0,0,58676,61905,62530,51311,46795,47539,42768,45543,45946,69069,73015,73684,49951,58596,55743,35349,40463,34916,17557,19201,19324,22490,36401,32100,25700,26784,31784,0,0,17139,17677,0,17227,0,8838,7438,0,7438,0,6954,7758,0,7758,0,4116,4116,0,4116,0,4672,0,5172,0,6802,0
4812,0604706F,Life Support Systems,5,System Development & Demonstration,3600,,6763,11113,11473,16253,26215,14758,8899,9208,4586,9982,7732,925,6352,5026,269,8333,11330,6630,12047,13373,7315,11273,14216,12370,13247,13563,12649,14907,16553,10998,13997,14331,10711,0,0,10340,10928,0,10650,0,8017,9280,0,11280,0,5832,9720,0,9720,0,7069,7273,0,7273,0,14854,0,8854,0,8187,0
4813,0604642A,Light Tactical Wheeled Vehicles,5,System Development & Demonstration,2040,,0,6783,7441,9171,9802,9893,1920,2501,2523,7900,7531,7877,17377,18010,15700,9581,9587,0,9192,7393,0,24358,4450,0,0,38256,82300,0,0,0,1140,0,0,0,0,1918,2198,0,1990,0,68442,69981,0,0,0,,0,0,0,0,,,,0,0,,,,,,
4814,0604610N,Lightweight Torpedo Development,5,System Development & Demonstration,1319,,8953,8984,9245,9041,9262,9347,9900,10219,10310,18745,14638,7769,12811,6173,3442,15281,11324,9965,27713,31348,31826,33047,40387,40540,26293,26502,27056,44848,52190,50732,18962,23407,21105,0,0,25852,28447,0,25282,0,25457,32592,0,32592,0,45907,49818,0,49818,0,26098,26444,0,26444,0,35280,0,25280,0,33738,0
4815,0632006A,"Lightweight, Flexible, Cost Effective Solar Energy Photovoltaics",2,Applied Research,2041,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14580,14580,0,,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4816,0602234D8Z,Lincoln Laboratory Research Program,2,Applied Research,400,,20219,17081,20189,19917,19917,18602,21969,21969,21969,26056,26769,27732,25945,26830,27231,23445,24846,25441,29762,29438,29914,27962,28810,28975,28288,29269,29524,29244,31168,31340,31913,33759,34034,0,0,31004,32772,0,32830,0,34444,36608,0,37916,0,32637,36826,0,36826,0,40469,41868,0,46875,0,47807,0,51875,0,51026,0
4817,0603654A,Line-Of-Sight Technology Demonstration,3,,2040,,15126,37188,37845,50262,50262,50727,72530,69859,57384,29931,26955,28283,8607,8739,8847,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4818,0603764N,LINK EVERGREEN,4,Advanced Component Development & Prototypes,1319,Classified (Named),0,7812,7836,9646,9623,9712,27101,25890,26151,47820,54736,55971,91987,94470,95796,42725,62287,63346,56305,57070,58153,54341,54658,55051,64987,31090,31607,21895,75789,75995,84160,123147,123660,0,0,48618,46620,0,41433,0,142858,144985,0,144985,0,61986,68654,0,68654,0,54613,55378,0,55378,0,46504,0,46504,0,47312,0
4819,0603748N,LINK PLUMERIA,4,Advanced Component Development & Prototypes,1319,Classified (Named),22024,47924,47988,45604,41983,42372,63048,62048,62601,80453,81081,82909,100841,104186,105363,112694,111903,112997,82741,80497,81723,81111,80357,80662,88361,87358,88748,69044,60100,60444,62009,62774,69313,0,0,59443,65295,0,58030,0,54816,52588,0,52721,0,153811,181220,0,181220,0,153214,121189,0,195189,0,260096,0,272096,0,237416,0
4820,0207434F ,Link-16 Support and Sustainment,5,System Development & Demonstration,3600,,0,0,0,0,0,0,0,0,0,50535,50073,44146,61150,70481,58783,120633,134547,141012,156851,161345,157677,156169,173216,172625,186371,194652,199363,278961,192460,186213,,65619,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
4821,0603581N ,Littoral Combat Ship (LCS),4,Advanced Component Development & Prototypes,1319,,0,0,0,0,0,0,0,0,0,35322,33099,0,158314,166180,158071,450783,452611,352089,584077,573957,576454,663935,329383,319671,309446,304117,217502,372036,368277,371008,421994,422746,360518,0,0,191613,254616,0,226288,0,297125,292665,0,286784,0,374966,429420,0,429420,0,256456,210217,0,406389,0,86705,0,88734,0,118416,0
4822,0605131OTE,Live Fire Test and Evaluation,6,Management Support,460,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11203,11203,11245,11062,11062,11133,11541,11541,11572,12234,12234,12285,0,0,12834,12457,0,12899,0,12126,12126,0,12126,0,49713,49201,0,49201,0,48423,48423,0,48423,0,45142,0,45142,0,46882,0
4823,0605131D8Z,Live Fire Testing,6,,460,,18934,16669,16669,17054,17054,9712,12736,12797,9887,15791,15791,10102,11721,11721,10074,11102,11110,10209,10160,10160,10340,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4824,0603804A,Logistics and Engineer Equipment - Adv Dev,4,Advanced Component Development & Prototypes,2040,,21337,7876,8428,6127,6260,6317,7412,6399,7456,11997,9243,11419,12212,12863,12008,9543,15993,10485,12195,13184,13375,9799,10103,13216,133007,37993,27499,42939,43995,44141,56153,59662,56373,0,0,62999,88911,0,80490,0,12107,12706,0,19509,0,13028,14605,0,14605,0,11623,11549,0,11556,0,13380,0,13386,0,21233,0
4825,0604804A,Logistics and Engineer Equipment - Eng Dev,5,System Development & Demonstration,2040,,26620,22506,22844,23595,24333,20457,31204,29326,30673,56101,64808,65857,84398,87471,86288,86918,90517,89151,14790,14150,13353,33205,42330,40301,40019,47108,45009,29884,38391,37718,35046,37023,36018,0,0,39588,45333,0,41039,0,173902,173146,0,251104,0,45135,43706,0,43706,0,43497,41682,0,41703,0,24566,0,24581,0,48339,0
4826,0708610F ,Logistics Information Technology (LOGIT),7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,32837,43384,44503,90557,120851,166338,104817,114599,114176,144861,159246,189679,237025,246250,246483,0,0,217584,233561,0,227614,0,47141,139885,0,140284,0,27070,119327,0,119327,0,58532,60410,0,95238,0,62894,0,109685,0,112676,0
4827,0708012F ,Logistics Support Activities,7,Operational Systems Development,3600,,0,0,0,0,0,0,0,0,0,8718,10095,10375,1340,1381,0,962,991,0,2682,2760,0,2132,1295,0,0,0,0,23042,0,0,0,0,0,0,0,0,0,0,0,0,944,944,0,944,0,451,577,0,577,0,,0,0,0,0,,,0,0,,
4828,0708012S ,Logistics Support Activities,7,Operational System Development,400,,0,0,0,0,0,0,0,0,0,28182,28182,0,35401,35401,35781,11119,11128,11389,2859,2858,2900,2901,2901,2912,2828,2828,2846,2683,2838,2846,2779,2783,2798,0,0,2792,2808,0,2813,0,2458,2458,0,2466,0,4328,4711,0,4711,0,5482,4659,0,4659,0,1574,0,1574,0,1770,0
4829,0603106F,Logistics Systems Technology,3,,3600,,9478,10896,10651,13157,13768,13895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4830,0303126K,Long-Haul Communications - DCS,7,Operational System Development,400,,11469,1205,1306,1339,1346,1416,10679,10624,10744,1602,1364,1407,1373,1380,1401,10158,10789,11401,1712,1449,1470,5360,5353,1523,16591,16382,16487,8108,8485,8508,42772,9157,9406,0,0,36598,34370,25256,32255,23125,27003,21619,10500,21824,10500,27039,26164,0,26164,0,45536,30940,0,36565,0,25325,0,25355,0,36883,0
4831,0604819A,LOSAT,5,,2040,,0,0,0,25364,26555,26800,24773,21416,21596,10603,13597,14463,29417,30488,30809,17403,21744,22628,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4832,0604311N,LPD-17 Class Systems Integration,5,System Development & Demonstration,1319,,1267,2387,2592,236,270,273,947,992,1001,9621,9909,10133,8621,8888,7989,8405,8893,8988,11174,11271,11443,8070,5937,5960,4175,4213,4300,950,982,985,5085,5282,5304,0,0,1636,1545,0,1373,0,858,884,0,884,0,741,824,0,824,0,1175,1214,0,1214,0,376,0,376,0,747,0
4833,0605878A,Maintenance and Repair (RPM) - RDT&E,6,,2040,,90568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4834,0604759A,Major T&E Investment,6,RDT&E Management Support,2040,,35551,37953,39095,42380,43616,44019,47304,49482,49897,47054,51168,53797,76732,60141,62135,65999,58988,57987,61626,66030,64498,64067,65325,64953,64536,66276,66921,62699,64404,64618,49942,51576,51846,0,0,40671,46507,0,42102,0,47972,49359,0,49437,0,45057,37394,0,37394,0,38534,46647,0,46672,0,56285,0,60317,0,62580,0
4835,0604759F,Major T&E Investment,6,Management Support,3600,,37995,54072,56659,64635,67631,54057,59080,62272,49857,58331,59971,46338,58682,60992,50215,58628,63965,58933,62753,64014,55339,63417,61671,58506,62635,63855,59064,67898,69221,61818,63892,67797,60824,0,0,59469,63196,0,61587,0,60388,62206,0,62206,0,33968,42236,0,42236,0,31423,32341,0,34841,0,47232,0,47232,0,68302,0
4836,0604759N,Major T&E Investment,6,Management Support,1319,,20641,45267,46364,43838,45227,40707,40674,44111,41804,39851,41473,42453,40385,44178,43908,40265,42573,39787,39746,40486,39682,75709,75908,39750,41328,40885,37614,51167,52050,42391,51628,51629,44844,0,0,37331,42219,0,37522,0,36670,37957,0,37957,0,32989,35894,0,35894,0,37974,38033,0,38033,0,123993,0,123993,0,61234,0
4837,0902298J,Management HQ - OJCS,7,Operational System Development,400,,9287,12282,9188,10470,10490,12540,15605,12070,11312,16404,12413,12887,28218,28921,18943,11335,11105,22421,2011,2011,5762,3078,3078,3090,3713,2766,3210,3392,3392,3401,5011,7535,8303,0,0,2830,2802,0,2807,0,2730,2730,0,2730,0,4148,4100,0,4100,0,2926,3475,0,3533,0,4409,0,4409,0,2978,0
4838,0605898A,Management HQ - R&D,6,RDT&E Management Support,2040,,21983,27026,27746,8185,8293,5371,4058,7208,7268,10855,9991,11533,15078,11818,8995,12386,11842,11575,12647,12724,12908,13893,13937,14092,14841,14797,14889,15586,15613,15665,15772,15784,15866,0,0,15845,17844,0,16154,0,17480,17530,0,17558,0,16844,18524,0,18524,0,53476,54145,0,54175,0,49583,0,49592,0,48955,0
4839,0605898E,Management HQ - R&D,6,Management Support,400,,32898,32163,32103,32544,32379,34679,36102,36102,36937,44850,42271,43572,45925,44525,45002,48582,46264,46689,48765,48765,49472,48766,48766,50951,51480,48480,52992,53569,48568,52700,54842,54842,51055,0,0,56393,56158,0,56257,0,66689,66689,0,66689,0,64248,69767,0,69767,0,71659,71659,0,71659,0,71362,0,71362,0,71571,0
4840,0301398F ,Management Headquarters GDIP,7,,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4841,0301398L ,"Management Headquarters GDIP, DIA",7,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4842,0901598C ,Management HQ - MDA,6,Management Support,400,,0,0,0,0,0,0,30191,23943,27758,35331,25365,27909,92100,92449,93441,110662,113777,141923,98609,99327,99327,93350,87059,87389,83907,80392,85906,87151,81174,86453,62294,52403,57403,0,0,28472,29701,0,29754,0,28824,28908,0,28908,0,31674,34855,0,34855,0,34712,34712,0,37712,0,35598,0,36998,0,35871,0
4843,0902198D8Z,Management HQ - OSD,6,,400,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4844,0605853N,"Management, Technical & International Support",6,Management Support,1319,,20535,16646,17351,18579,17481,17644,28467,27413,21628,50482,50698,50787,29992,30901,30236,30080,30692,31407,41665,42611,44847,43752,45126,47213,46865,48441,49498,49255,51264,51568,57012,60181,60590,0,0,58588,65631,0,58329,0,56441,58162,0,68301,0,44635,32782,0,32782,0,81918,83494,0,76585,0,87038,0,72070,0,78143,0
4845,0203740A,Maneuver Control System,7,Operational Systems Development,2040,,28720,40695,45776,47071,48454,48910,40231,39883,40231,40612,42229,44444,38747,39145,39581,31050,23350,24753,36602,40813,44903,33947,34590,37976,43601,45191,43961,36072,37028,37151,36131,21283,21394,0,0,24648,28212,0,25540,0,39282,42347,0,65002,0,60948,68325,0,68325,0,35337,36475,0,36495,0,45065,0,45092,0,15445,0
4846,0207136F,Manned Destructive Suppression,7,Operational Systems Development,3600,,1663,3188,3363,13643,14535,14670,20630,22017,22239,21821,22910,23699,19747,20458,20633,16143,16827,16976,7229,9260,9394,499,513,515,500,0,0,5413,5570,5585,9707,9748,10748,0,0,12496,13275,0,12937,0,8515,13253,0,13253,0,13362,13683,0,13683,0,10724,11022,0,13138,0,14831,0,14831,0,14860,0
4847,0605625A,Manned Ground Vehicle,5,System Development & Demonstration,2040,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76861,79583,100000,0,0,312269,1032123,0,934366,0,434977,448679,0,884387,0,570121,639874,0,639874,0,96820,100147,0,592201,0,49134,0,49160,0,49247,0
4848,0305207F,Manned Reconnaissance Systems,7,Operational Systems Development,3600,,53479,24333,23798,15357,15357,0,7015,7050,0,8357,7915,0,15391,15682,14726,23364,21591,13283,18074,18074,8101,37015,16669,10132,24333,21387,12672,17811,17811,12819,18884,14846,12846,0,0,15259,15738,0,15337,0,13049,13049,0,13049,0,12205,13316,0,13316,0,13491,13491,0,13491,0,13516,0,13516,0,13245,0
4849,0305207G,Manned Reconnaissance Systems,7,,400,,9959,9830,9830,4801,4501,4543,16830,17124,4556,0,7188,4649,0,0,4424,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,0305207N,Manned Reconnaissance Systems,7,Operational Systems Development,1319,,30002,39582,39738,44520,46014,27479,36912,38132,29232,22505,22510,11166,16518,16521,13717,49732,26746,20203,67234,62002,21322,101811,36725,22815,50754,25137,22488,62753,28671,13982,36716,36716,74499,51900,0,17565,21674,0,19263,0,0,0,0,0,0,28099,30654,0,30654,0,,0,0,0,0,,,0,0,,
4851,0604618D8Z,MANPADS Defense Program,5,,400,,0,0,0,0,0,0,0,0,0,0,0,0,2871,2958,25000,15280,11923,14135,18021,18548,13349,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4852,0603707N,"Manpower, Personnel and Training Adv Tech Dev",3,,1319,,29300,38370,45479,46494,45566,26988,1921,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4853,0603007A,"Manpower, Personnel and Training Advanced Technology",3,Advanced Technology Development,2040,,2869,4869,4981,6844,7008,3072,3077,3093,3120,7606,7663,3527,8787,8921,4931,8390,8070,7288,9796,10235,6783,9022,9200,6794,6632,6740,6783,6725,6830,6853,7220,7371,7410,0,0,7694,8750,0,7921,0,10063,10282,0,10298,0,8756,9856,0,9856,0,6145,7796,0,7800,0,13574,0,13580,0,12636,0
4854,0602785A,Manpower/Personnel/Training Technology,2,Applied Research,2040,,8249,11723,12005,11658,11759,11869,14367,15175,16315,15130,15358,14335,15143,15053,15548,14839,14846,15322,14171,14990,15207,15705,16021,16200,15841,16102,16208,16096,16358,16412,16358,16614,18701,0,0,18982,24520,0,22198,0,18623,18917,0,18946,0,15979,17781,0,17781,0,17395,17645,0,17654,0,23288,0,23295,0,24735,0
4855,0603680F,Manufacturing Technology Program,3,Advanced Technology Development,3600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54614,56376,39729,49507,50502,39913,0,0,46564,40738,0,39701,0,39165,40103,0,40103,0,51448,37045,0,37045,0,40221,41353,0,41353,0,52772,0,42772,0,42630,0
4856,0603640M,USMC Advanced Technology Demonstration (ATD),3,Advanced Technology Development,1319,,56304,66432,68565,57456,60687,54749,64373,61843,51310,73607,74970,51606,98595,90110,56404,128818,88239,58222,86777,88108,56434,82521,83376,59170,90671,77760,70968,102534,103333,100787,138913,129962,107363,0,0,110068,129497,0,115089,0,120141,124115,0,124324,0,117288,130598,0,130598,0,128772,132336,0,132400,0,128320,0,128397,0,137562,0
4857,0603611M,Marine Corps Assault Vehicles,4,Advanced Component Development & Prototypes,1319,,100609,110937,114210,142520,147100,137981,252634,260627,263066,263299,270255,272092,231948,237893,240695,239152,243058,236969,243945,249727,253675,314935,347820,188306,240532,247207,288220,256042,255274,316052,302099,292217,293466,0,0,214597,273156,0,242765,0,37000,37000,0,12000,0,83182,95182,0,95182,0,34956,122967,0,136967,0,105749,0,105749,0,219082,0
4858,0206624M,Marine Corps Combat Services Support,7,Operational Systems Development,1319,,5536,11852,8337,5670,3876,2854,7718,8408,8483,16682,20516,21041,24663,20493,19723,15908,16109,10731,17182,16318,10476,149573,17456,17524,124955,12750,12946,10307,9620,9646,64856,20479,17057,0,0,52480,21903,0,19466,0,45803,27072,0,45172,0,56390,65155,6762,65155,6762,23883,35647,0,42647,0,20999,0,20999,0,20729,0
4859,0206313M,Marine Corps Communications Systems,7,Operational Systems Development,1319,,49208,89355,96293,96438,107102,96153,114659,119716,104835,197524,196004,174664,238114,247179,235722,272587,273870,268638,246086,256291,237081,277553,233708,218460,347524,260719,280140,356571,289060,273696,268815,279222,287348,0,0,227604,276006,0,245298,0,313832,321623,1500,322364,1500,162537,219054,0,219054,0,157440,160773,0,178753,0,73982,0,77398,0,67763,0
