CSISofficeName	CSISofficeName.PBL
"DLA DOCUMENT SERVICES, PEARL HARBOR"	"DLA DOCUMENT SERVICES, PEARL HARBOR"
DLA ENERGY	DLA ENERGY
DLA ENERGY AEROSPACE ENRGY-DLAE-M	DLA ENERGY AEROSPACE ENRGY-DLAE-M
DLA LAND AND MARI SUPP OPER	DLA LAND AND MARI SUPP OPER
DLA LAND AND MARITIME	DLA LAND AND MARITIME
DLA LAND AND MARITIME - ALBANY	DLA LAND AND MARITIME - ALBANY
DLA LAND AND MARITIME SUPPLIER	DLA LAND AND MARITIME SUPPLIER
DLA LAND AT ABERDEEN	DLA LAND AT ABERDEEN
DLA LAND WARREN	DLA LAND WARREN
DLA LOGISTICS INFORMATION SERVICE	DLA LOGISTICS INFORMATION SERVICE
DLA MARITIME - NORFOLK	DLA MARITIME - NORFOLK
DLA MARITIME - PEARL HARBOR	DLA MARITIME - PEARL HARBOR
DLA MARITIME - PORTSMOUTH	DLA MARITIME - PORTSMOUTH
DLA MARITIME - PUGET SOUND	DLA MARITIME - PUGET SOUND
DLA STRATEGIC MATERIALS	DLA STRATEGIC MATERIALS
DLA SUPPORT SERVICES - DSS	DLA SUPPORT SERVICES - DSS
DLA TROOP SUPPORT	DLA TROOP SUPPORT
DLA TROOP SUPPORT C&E	DLA TROOP SUPPORT C&E
DLA TROOP SUPPORT C&E (CLASS IV)	DLA TROOP SUPPORT C&E (CLASS IV)
DLA TROOP SUPPORT C&E (FES)	DLA TROOP SUPPORT C&E (FES)
DLA TROOP SUPPORT C&E (HVAC)	DLA TROOP SUPPORT C&E (HVAC)
DLA TROOP SUPPORT C&E (LGHTNG I)	DLA TROOP SUPPORT C&E (LGHTNG I)
DLA TROOP SUPPORT C&E (LGTNG II)	DLA TROOP SUPPORT C&E (LGTNG II)
DLA TROOP SUPPORT C&E (MAT&ME)	DLA TROOP SUPPORT C&E (MAT&ME)
DLA TROOP SUPPORT C&E (SOE)	DLA TROOP SUPPORT C&E (SOE)
DLA TROOP SUPPORT C&E CONTAINERS	DLA TROOP SUPPORT C&E CONTAINERS
DLA TROOP SUPPORT C&E HARDWARE	DLA TROOP SUPPORT C&E HARDWARE
DLA TROOP SUPPORT C&E MANU&CON	DLA TROOP SUPPORT C&E MANU&CON
DLA TROOP SUPPORT C&E SMSG CORP	DLA TROOP SUPPORT C&E SMSG CORP
DLA TROOP SUPPORT C&E T&IFO EQ	DLA TROOP SUPPORT C&E T&IFO EQ
DLA TROOP SUPPORT DIR OF SUB	DLA TROOP SUPPORT DIR OF SUB
DLA TROOP SUPPORT EUROPE&AFRICA	DLA TROOP SUPPORT EUROPE&AFRICA
DLA TROOP SUPPORT EUROPEAN REGION	DLA TROOP SUPPORT EUROPEAN REGION
DLA TROOP SUPPORT MEDICAL SUPPLY CH	DLA TROOP SUPPORT MEDICAL SUPPLY CH
DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSA	DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSA
DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSG	DLA TROOP SUPPORT MEDICAL SUPPLY CHAIN FSG
DLA TROOP SUPPORT PACIFIC	DLA TROOP SUPPORT PACIFIC
DLA TROOP SUPPORT PACIFIC REGION	DLA TROOP SUPPORT PACIFIC REGION
DLA TROOP SUPPORT SUBSISTENCE SUPPLY CHAIN	DLA TROOP SUPPORT SUBSISTENCE SUPPLY CHAIN
DOD/DEPARTMENT OF THE AIR FORCE	DOD/DEPARTMENT OF THE AIR FORCE
DOD/DEPARTMENT OF THE NAVY	DOD/DEPARTMENT OF THE NAVY
DON ASSISTANT FOR ADMINISTRATION	DON ASSISTANT FOR ADMINISTRATION
DON/AA	DON/AA
DWIGHT DAVID EISENHOWER MED CENT	DWIGHT DAVID EISENHOWER MED CENT
ELECTRONIC ATTACK SQUADRON VAQ 129	ELECTRONIC ATTACK SQUADRON VAQ 129
ELECTRONIC SYSTEMS COMMAND	ELECTRONIC SYSTEMS COMMAND
ESC/ACK	ESC/ACK
ESC/AWK	ESC/AWK
ESC/CXK	ESC/CXK
ESC/DI	ESC/DI
ESC/DIAK	ESC/DIAK
ESC/DIBK	ESC/DIBK
ESC/DIGK	ESC/DIGK
ESC/DIK	ESC/DIK
ESC/DISK	ESC/DISK
ESC/FD	ESC/FD
ESC/FXK	ESC/FXK
ESC/GAK	ESC/GAK
ESC/IAK	ESC/IAK
ESC/IYK	ESC/IYK
ESC/JSK	ESC/JSK
ESC/MAK	ESC/MAK
ESC/MCK	ESC/MCK
ESC/NDK	ESC/NDK
ESC/PK  ELECTRONICS SYSTEM CTR	ESC/PK  ELECTRONICS SYSTEM CTR
ESC/PKO	ESC/PKO
ESC/PKR R & D CONTRACTING	ESC/PKR R & D CONTRACTING
ESC/PKX CUSTOMER SUPPORT TEAM	ESC/PKX CUSTOMER SUPPORT TEAM
ESC/SRK	ESC/SRK
ESC/TNK	ESC/TNK
EURO-HSSA	EURO-HSSA
EXPEDITIONARY COMBAT CAMERA	EXPEDITIONARY COMBAT CAMERA
EXPEDITIONARY COMBAT READINESS CTR	EXPEDITIONARY COMBAT READINESS CTR
EXPLOSIVE ORDNANCE DISPOSAL GROU	EXPLOSIVE ORDNANCE DISPOSAL GROU
EXPLOSIVE ORDNANCE DISPOSAL GROUP 1	EXPLOSIVE ORDNANCE DISPOSAL GROUP 1
EXPLOSIVE ORDNANCE DISPOSAL GROUP 2	EXPLOSIVE ORDNANCE DISPOSAL GROUP 2
EXPLOSIVE ORDNANCE DISPOSAL MOBI	EXPLOSIVE ORDNANCE DISPOSAL MOBI
FA0021 AFICA 765 SCONF	FA0021 AFICA 765 SCONF
FA1500  55 CONS LGCD	FA1500  55 CONS LGCD
FA2103  STRATEGIC SYST AAC EBB	FA2103  STRATEGIC SYST AAC EBB
FA2263  AFLCMC WNMRP	FA2263  AFLCMC WNMRP
FA2330  ESC 851 ELSG PK	FA2330  ESC 851 ELSG PK
FA2486  AFTC PZZ	FA2486  AFTC PZZ
FA2487  AFTC PZIE EGLIN	FA2487  AFTC PZIE EGLIN
FA2517  21 CONS LGC	FA2517  21 CONS LGC
FA2521  45 CONS LGC	FA2521  45 CONS LGC
FA2523  DET 1 21 CON SQ	FA2523  DET 1 21 CON SQ
FA2543  460 CONF LGC	FA2543  460 CONF LGC
FA2550  50 CONS LGCP	FA2550  50 CONS LGCP
FA2816 SMC PKO	FA2816 SMC PKO
FA2823  AFTC PZIO	FA2823  AFTC PZIO
FA2835  AFLCMC HANSCOM PZI	FA2835  AFLCMC HANSCOM PZI
FA2860  11 CONS LGC	FA2860  11 CONS LGC
FA3002  338 SCONS CC	FA3002  338 SCONS CC
FA3010  81 CONS CC	FA3010  81 CONS CC
FA3016  502 CONS CL            JBSA	FA3016  502 CONS CL            JBSA
FA3020  82 CONS LGC	FA3020  82 CONS LGC
FA3022  14 CONS LGCA	FA3022  14 CONS LGCA
FA3029  71 FTW CVC        VANCE AFB	FA3029  71 FTW CVC        VANCE AFB
FA3030  17 CONS CC	FA3030  17 CONS CC
FA3047  802 CONS CC JBSA	FA3047  802 CONS CC JBSA
FA3089  902 CONS LGC           JBSA	FA3089  902 CONS LGC           JBSA
FA3099  47 CONS-CC	FA3099  47 CONS-CC
FA3300  42 CONS CC	FA3300  42 CONS CC
